Customer_ID,Age,Annual_Income,Credit_Score,Tenure_Months,Card_Tier,Acquisition_Channel,Credit_Limit,Avg_Monthly_Spend,Utilization_Rate,Avg_Payment_Ratio,Delinq_30D_Count,Satisfaction_Score,Churn_Risk
C00001,39,57574,668,75,CLASSIC,Branch,4845,433.59,0.519,0.755,0,7,0.069
C00002,29,62653,766,56,GOLD,Digital,14198,1203.08,0.312,0.775,0,8,0.073
C00003,21,48073,706,64,Gold,Branch,6737,814.05,0.351,0.726,0,9,0.078
C00004,37,86532,697,125,Gold,Branch,14953,1468.77,0.426,0.722,0,9,0.02
C00005,51,81258,752,55,Gold,Digital,16675,1635.51,0.186,0.823,0,8,0.092
C00006,41,72479,605,46,Classic,Branch,1775,283.12,0.525,0.676,0,7,0.103
C00007,35,41651,669,56,Classic,partner,2947,398.39,0.422,0.63,0,8,0.084
C00008,43,46613,657,18,Classic,Digital,2882,525.55,0.632,0.654,0,7,0.07
C00009,28,56659,770,41,Gold,Digital ,13291,1372.12,0.137,0.851,0,,0.09
C00010,42,28000,682,68,Classic,Partner,1920,174.42,0.478,0.763,0,9,0.02
C00011,21,115024,682,53,platinum,PARTNER,22684,2329.78,0.374,0.738,0,6,0.215
C00012,29,46563,713,28,Gold,Digital,8822,1219.33,0.377,0.941,0,9,0.02
C00013,31,124900,759,26, Platinum,Digital,29053,3481.97,0.288,0.855,0,10,0.02
C00014,35,47507,755,112, Gold,Digital,7947,640.0,0.192,1.0,0,9,0.03
C00015,32,57136,599,69,Classic,Digital,4041,935.15,0.433,0.817,0,8,0.035
C00016,53,46392,691,55,Classic,Digital,5094,150,0.244,0.705,0,8,0.078
C00017,38,134727,666,64,Platinum,Digital,28456,3165.36,0.474,0.853,0,6,0.173
C00018,61,95014,722,75,Platinum,Partner,17129,2012.68,0.453,0.838,0,5,0.19
C00019,39,65745,626,67,Classic,Direct Mail,4644,723.12,0.604,0.63,0,8,0.022
C00020,44,56657,722,20,Gold,Partner,8693,784.63,0.54,0.81,0,8,0.126
C00021,44,56385,733,12,Gold,Partner,10572,1251.87,0.394,0.833,0,6,0.158
C00022,21,70705,632,73,Classic,Direct Mail,2215,612.25,0.461,0.767,0,8,0.07
C00023,48,131479,659,101,Platinum,Branch,27835,3009.69,0.323,0.716,0,9,0.043
C00024,60,153741,718,53,Platinum,Direct Mail,34459,3466.16,0.406,0.846,0,7,0.143
C00025,55,82318,699,38,Gold,Digital,13967,1869.87,0.284,0.734,0,6,0.117
C00026,46,114660,600,52,Gold,Digital,14068,2032.22,0.479,0.629,0,6,0.152
C00027,33,67533,665,41,Gold,Digital,9416,917.08,0.423,0.859,0,9,0.02
C00028,49,28953,660,80,Classic,Partner,5035,539.64,0.414,0.751,1,6,0.22
C00029,51,70227,683,12,Gold,Partner,12187,1331.33,0.35,0.886,0,6,0.18
C00030,36,82140,717,50,Gold,Partner,13674,1396.38,0.412,0.835,0,7,0.152
C00031,47,49783,702,18,Gold,Digital,10116,759.4,0.415,0.633,0,,0.145
C00032,26,37869,721,7,Classic,Digital,3674,610.58,0.427,0.686,0,6,0.202
C00033,29,88766,717,14,Gold,Partner,16105,1471.39,0.17,0.704,0,6,0.155
C00034,42,127388,765,90,Platinum,Branch,29960,3483.11,0.382,0.852,0,6,0.166
C00035,25,40219,621,73,Classic,Partner,3499,909.09,0.423,0.613,0,4,0.274
C00036,53,56581,557,88,Classic,Direct Mail,4920,508.97,0.456,0.608,0,8,0.054
C00037,43,84317,640,13,Gold,Digital,13034,1454.7,0.538,0.674,0,8,0.094
C00038,38,62366,641,26,Classic,Branch,6158,721.75,0.375,0.601,0,6,0.141
C00039,37,68642,747,16,Gold,Digital,12199,1268.6,0.142,0.843,0,5,0.253
C00040,29,52323,680,66,Classic,Digital,2163,794.13,0.346,0.882,0,7,0.116
C00041,31,28000,672,91,Classic,Partner,3422,213.37,0.396,0.87,0,8,0.07
C00042,49,85356,654,57,Gold,Digital,9426,1092.9,0.502,0.702,1,10,0.02
C00043,32,77622,715,73,Gold, Partner,9183,670.42,0.368,0.687,0,10,0.02
C00044,60,64910,632,7,CLASSIC,Branch,2676,978.03,0.431,0.729,0,9,0.075
C00045,43,99733,659,34,Gold,Branch,13189,1318.49,0.561,0.774,0,6,0.169
C00046,57,46866,835,16,Gold,Direct Mail,13835,1059.75,0.285,0.876,0,6,0.15
C00047,54,137904,744,99,Platinum,Digital,30342,3123.73,0.467,0.911,0,8,0.111
C00048,52,35507,717,30,Classic,Branch,5656,692.15,0.401,0.864,0,6,0.176
C00049,26,107142,659,8,Gold,Direct Mail,13568,1877.12,0.431,0.774,0,8,0.061
C00050,50,167436,720,13,Platinum,Digital,35236,4033.65,0.343,0.912,0,6,0.159
C00051,49,172741,824,29,Platinum,Digital,40000,4154.15,0.15,1.0,0,6,0.153
C00052,42,83842,563,21,Classic,partner,6294,884.1,0.614,0.569,0,7,0.09
C00053,48,82138,771,15,Platinum,Branch,20703,1642.45,0.288,0.861,0,4,0.243
C00054,70,118470,645,13,Gold,Digital,14315,1442.24,0.376,0.539,0,10,0.02
C00055,21,58827,676,102,Gold,Partner,11295,1004.75,0.393,0.788,0,6,0.147
C00056,54,47027,661,51,Classic,Branch,3341,446.85,0.636,0.72,0,9,0.02
C00057,47,113121,725,49,Platinum,Partner,27030,3114.77,0.482,0.749,0,6,0.185
C00058,44,177307,701,65,Platinum,Partner,38570,4427.3,0.517,0.827,0,9,0.02
C00059,35,66438,676,144,Classic ,Direct Mail,4668,952.94,0.509,0.798,0,9,0.02
C00060,47,96007,706,26,Gold,Partner,14465,1689.69,0.444,0.88,0,,0.111
C00061,32,44459,671,57,Classic,partner,8482,579.9,0.28,0.861,0,8,0.02
C00062,21,116793,699,32,Platinum,PARTNER,22166,2139.92,0.299,0.691,0,8,0.025
C00063,37,47041,719,43,Gold,Digital,8895,335.04,0.353,0.799,0,9,0.069
C00064,48,59166,626,29,Classic,Digital,4765,736.07,0.545,0.564,0,6,0.145
C00065,35,74967,631,107,Gold,Branch,9308,1240.61,0.438,0.808,0,,0.038
C00066,49,43558,699,84,Classic,Digital,4733,600.01,0.541,0.834,0,10,0.02
C00067,37,57138,610,19,Classic,Branch,2344,557.03,0.437,0.706,0,7,0.114
C00068,38,64075,653,31,Classic,Digital,4808,499.65,0.322,0.729,0,9,0.02
C00069,49,147629,677,28,Platinum,direct mail,30084,3440.86,0.426,0.869,0,9,0.02
C00070,35,57194,609,8,Classic,Partner,2046,515.25,0.384,0.544,1,6,0.205
C00071,26,59035,826,80,Platinum,Digital,19379,1794.62,0.142,1.0,0,6,0.207
C00072,75,42737,636,53,Classic,Digital,3283,663.28,0.719,0.693,0,8,0.055
C00073,31,89747,722,58,Gold,Branch,10485,1363.07,0.487,0.991,0,8,0.042
C00074,21,57161,599,54,Classic,Digital,1000,496.91,0.749,0.711,0,10,0.02
C00075,23,77874,559,10,Classic,Partner,3316,444.84,0.654,0.513,0,8,0.032
C00076,41,100154,520,43,Classic,Digital,1081,150,0.567,0.473,1,4,0.279
C00077,61,119979,677,44,Platinum,Direct Mail,24678,3278.95,0.478,0.694,0,8,0.102
C00078,54,101902,644,16,Gold,Branch,12492,1387.88,0.403,0.693,0,8,0.05
C00079,29,57215,602,11,Classic,Digital,2648,910.8,0.345,0.496,0,8,0.063
C00080,34,43281,574,32,Classic,Digital,1000,150,0.469,0.598,0,9,0.02
C00081,28,63381,628,31,Classic,Direct Mail,1000,150,0.282,0.715,0,6,0.161
C00082,52,31182,775,82,Gold,Direct Mail,6679,939.84,0.278,0.811,0,8,0.02
C00083,24,75068,626,34,CLASSIC,Partner,6156,715.21,0.406,0.655,0,6,0.184
C00084,33,38153,705,36,Classic,Digital,2274,296.27,0.301,0.826,0,9,0.02
C00085,33,133327,644,116,Platinum,Partner,25276,2800.22,0.595,0.627,0,6,0.168
C00086,41,82783,682,28,Gold,branch,13540,1481.86,0.469,0.82,0,9,0.02
C00087,42,72305,718,95,Gold,Digital,11039,1789.47,0.288,0.755,0,9,0.038
C00088,23,133514,666,19,Gold,Digital,19613,2552.62,0.611,0.776,0,8,0.043
C00089,33,102713,619,80,Gold,Digital,13372,1593.84,0.798,0.623,0,9,0.02
C00090,67,74979,676,45,Classic,Digital,9061,910.24,0.591,0.705,0,7,0.166
C00091,35,120379,735,62,platinum,Partner,29572,2466.9,0.29,0.817,0,8,0.02
C00092,37,80232,704,41,Gold,Direct Mail,13348,1130.83,0.212,0.78,0,5,0.217
C00093,54,42552,642,26,Classic,Branch,5054,910.52,0.415,0.686,1,7,0.132
C00094,43,85402,727,32,CLASSIC,Direct Mail,7387,1215.71,0.273,0.811,0,9,0.042
C00095,38,31490,619,32,Classic,Direct Mail,1091,150,0.497,0.583,0,9,0.02
C00096,43,131115,655,14,Gold,Partner,14827,1639.65,0.287,0.723,0,9,0.02
C00097,46,77327,736,7,Gold,Digital,12262,1664.26,0.408,0.913,0,7,0.154
C00098,51,39657,619,13,Classic,Digital,3072,325.8,0.634,0.744,0,8,0.031
C00099,47,51415,672,29,Classic,Digital,4966,220.43,0.662,0.829,0,7,0.049
C00100,32,42615,716,37,Classic,Digital,2807,207.87,0.452,0.922,0,8,0.03
C00101,59,86947,730,61,Classic,Partner,7325,669.43,0.172,0.913,0,7,0.074
C00102,54,48166,640,43,Classic,Partner,3842,355.31,0.344,0.685,0,7,0.123
C00103,42,36565,730,39,Classic,Branch,4230,870.47,0.372,0.791,0,9,0.02
C00104,51,76397,619,54,Classic,Digital,3610,670.92,0.657,0.713,1,7,0.122
C00105,49,37007,715,68,Classic,Digital,4247,767.39,0.468,0.816,1,9,0.026
C00106,38,120283,700,80,Platinum,Digital,26030,2736.67,0.26,0.754,0,8,0.02
C00107,38,200622,633,29,Platinum, Digital,40000,4287.08,0.375,0.617,0,7,0.118
C00108,47,78773,726,52,Gold,Direct Mail,12703,1058.82,0.608,0.759,0,8,0.07
C00109,52,84316,743,13,Gold,Digital,14212,1871.26,0.26,0.73,0,7,0.092
C00110,21,118270,668,49,Classic,Partner,11410,1302.03,0.748,0.753,0,8,0.076
